FundingOrgName,ProjectReference,LeadROName,Department,ProjectCategory,PISurname,PIFirstName,PIOtherNames,PI ORCID iD,StudentSurname,StudentFirstName,StudentOtherNames,Student ORCID iD,Title,StartDate,EndDate,AwardPounds,ExpenditurePounds,Region,Status,Classifications 1,Classifications 2,Classifications 3,Classifications 4,Classifications 5,Other Classifications,GTRProjectUrl,ProjectId,FundingOrgId,LeadROId,PIId,duration,price
EPSRC,EP/L023814/1,Imperial College London,Dept of Surgery and Cancer,Research Grant,Darzi,Ara,Warkes,NA,NA,NA,NA,NA,Quantified-self for obesity: Physical activity behaviour sensing to improve health outcomes from surgery for severe obesity,2014-06-01,2016-05-31,270434,NA,NA,Closed,Artificial Intelligence,Biomechanics & Rehabilitation,Human-Computer Interactions,Information & Knowledge Mgmt,Mobile Computing,NA,https://gtr.ukri.org:443/projects?ref=EP/L023814/1,8B3690A5-807B-481D-8ABD-A8E8E9836A65,798CB33D-C79E-4578-83F2-72606407192C,46387D84-F71E-4B7D-8C7D-9C288F113510,F79C4700-36E9-45D1-9DC0-51C1904430A0,730,370.45753424657534
EPSRC,EP/T024593/1,University of East Anglia,Computing Sciences,Research Grant,Lettice,Fiona,NA,NA,NA,NA,NA,NA,Smart Environments Research Facility,2020-01-10,2022-01-08,99664,NA,NA,Active,Artificial Intelligence,Image & Vision Computing,Information & Knowledge Mgmt,Networks & Distributed Systems,New & Emerging Comp. Paradigms,NA,https://gtr.ukri.org:443/projects?ref=EP/T024593/1,6FF8B38B-1B26-4EAD-A56B-BFC045433BED,798CB33D-C79E-4578-83F2-72606407192C,88C5F7F9-8DCC-41C9-BC4F-F37DA01075C7,3BB0E0EE-0E97-40E2-A21B-A9EE0F702453,729,136.7133058984911
EPSRC,EP/K012428/1,Institute of Education,"Culture, Communication and Media",Research Grant,Porayska-Pomsta,Kaska,NA,NA,NA,NA,NA,NA,SHARE-IT: School-Home Research Environment through Intelligent Technologies,2013-02-01,2014-07-31,241598,NA,NA,Closed,Artificial Intelligence,Education,Human-Computer Interactions,Mobile Computing,NA,NA,https://gtr.ukri.org:443/projects?ref=EP/K012428/1,76F18D3A-AFFC-46BA-BC89-CF75F50B7344,798CB33D-C79E-4578-83F2-72606407192C,0D34D81A-A62C-4B11-8A90-ACB670C0AE91,E8629A89-CAB8-4553-971F-2293E98A30EA,545,443.29908256880736
EPSRC,EP/R004757/1,University of Bristol,Computer Science,Research Grant,Richards,Arthur,NA,http://orcid.org/0000-0001-9500-5514,NA,NA,NA,NA,Thales-Bristol Partnership in Hybrid Autonomous Systems Engineering (T-B PHASE),2017-10-01,2023-03-31,2050756,NA,NA,Active,Artificial Intelligence,Human-Computer Interactions,NA,NA,NA,NA,https://gtr.ukri.org:443/projects?ref=EP/R004757/1,6AAB2D45-60CA-40BE-930A-99CF85A3BA0B,798CB33D-C79E-4578-83F2-72606407192C,4A348A76-B2D0-4DDD-804A-CE735A6D3798,07AAE106-9AC0-4F20-901F-43745D8BD560,2007,1021.8016940707523
EPSRC,EP/S021507/1,University of Oxford,Engineering Science,Research Grant,Bulte,Daniel,Peter,http://orcid.org/0000-0002-3034-8986,NA,NA,NA,NA,Determining cerebrovascular reactivity from the pupil flash response,2019-06-01,2024-05-31,1074228,NA,NA,Active,Artificial Intelligence,Biomedical neuroscience,Med.Instrument.Device& Equip.,NA,NA,NA,https://gtr.ukri.org:443/projects?ref=EP/S021507/1,001C43DE-0140-443B-9780-D5B784C63D8B,798CB33D-C79E-4578-83F2-72606407192C,3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9,65DB5A8E-945D-49CC-A084-F9DEF25A7ADC,1826,588.2957283680175
EPSRC,EP/G007543/1,University of Sussex,Sch of Engineering and Informatics,Fellowship,Seth,Anil,K,NA,NA,NA,NA,NA,Towards a next-generation computational neuroscience,2009-01-01,2014-06-30,1109019,NA,NA,Closed,Artificial Intelligence,Biomedical neuroscience,NA,NA,NA,NA,https://gtr.ukri.org:443/projects?ref=EP/G007543/1,FD735019-4369-483D-BC58-CBD7F20E2968,798CB33D-C79E-4578-83F2-72606407192C,A8967420-49D3-4509-9912-25FB3EC75B74,F7F9D556-A907-402B-9F54-B936DB4C588C,2006,552.8509471585244
EPSRC,EP/D066883/1,University of Manchester,Computer Science,Fellowship,Pekalska,Elzbieta,Malgorzata,NA,NA,NA,NA,NA,Statistical learning with general proximity measures,2006-10-01,2012-02-29,239487,NA,NA,Closed,Artificial Intelligence,Information & Knowledge Mgmt,New & Emerging Comp. Paradigms,Statistics & Appl. Probability,NA,NA,https://gtr.ukri.org:443/projects?ref=EP/D066883/1,E5322DFD-25C8-4413-9DEB-ABE0D7924DA0,798CB33D-C79E-4578-83F2-72606407192C,68D0E3C9-9246-4CFC-B5E9-48584CF82993,5599BC1F-09DC-4757-93DF-43FC990233DA,1977,121.13657056145675
ESRC,ES/T013192/1,University of Cambridge,Public Health and Primary Care,Research Grant,Inouye,Michael,NA,NA,NA,NA,NA,NA,Artificial intelligence to create equitable multi-ethnic polygenic risk scores that improve clinical care,2020-02-14,2023-02-13,508079,NA,NA,Active,Artificial Intelligence,Medical science & disease,Population Genetics/Evolution,NA,NA,NA,https://gtr.ukri.org:443/projects?ref=ES/T013192/1,114212A6-2E83-4101-A21D-474870F9B089,924BE15C-91F2-4AAD-941A-3F338324B6AE,D1774113-D5D2-4B7C-A412-66A90FE4B96F,7C6AE3CD-E040-4ADA-B070-E15123070CDF,1095,463.9990867579909
ESRC,ES/T013397/1,Imperial College London,Dept of Bioengineering,Research Grant,Celiz,Adam,NA,NA,NA,NA,NA,NA,AI-driven biomaterial screening to accelerate medical device development,2020-02-01,2023-07-31,492397,NA,NA,Active,Artificial Intelligence,Cells,Tissue engineering,NA,NA,NA,https://gtr.ukri.org:443/projects?ref=ES/T013397/1,2154141B-7872-4378-A2C5-71E01721F8C0,924BE15C-91F2-4AAD-941A-3F338324B6AE,46387D84-F71E-4B7D-8C7D-9C288F113510,BB7FCF38-111A-4ADC-88F7-BDC77D8F072D,1276,385.891065830721
ESRC,ES/P011160/1,King's College London,Informatics,Research Grant,Sklar,Elizabeth,Ida,http://orcid.org/0000-0002-6383-9407,NA,NA,NA,NA,Data Awareness for Sending Help (DASH),2017-04-01,2018-05-31,195311,NA,NA,Closed,Artificial Intelligence,Social Policy,NA,NA,NA,NA,https://gtr.ukri.org:443/projects?ref=ES/P011160/1,B3CA833C-0636-42E0-8028-A4E82BEB8335,924BE15C-91F2-4AAD-941A-3F338324B6AE,318B5D98-4CB4-4B10-A876-08FC93071A56,BA51B747-E35B-44F8-89F9-E90BE73872CD,425,459.55529411764707
ESRC,ES/R003254/1,University of Southampton,"Sch of Economic, Social & Political Sci",Research Grant,Lavorgna,Anita,NA,NA,NA,NA,NA,NA,FloraGuard: Tacking the illegal trade in endangered plants,2018-01-01,2021-12-31,240365,NA,NA,Active,Artificial Intelligence,Conservation Ecology,Criminology,NA,NA,NA,https://gtr.ukri.org:443/projects?ref=ES/R003254/1,048A1B40-DA0C-4299-9D3A-CF75C0833E19,924BE15C-91F2-4AAD-941A-3F338324B6AE,30A429E3-83B7-4E41-99C0-14A144F07DFE,D3045255-D9B6-4FA3-81BA-A66C98EF4E34,1460,164.6335616438356
ESRC,ES/T007265/1,University of Oxford,Sociology,Research Grant,Hertog,Ekaterina,NA,http://orcid.org/0000-0002-4573-162X,NA,NA,NA,NA,The Future of Unpaid Work: AI's potential to transform unpaid domestic work in the UK and Japan,2020-01-31,2023-03-31,410715,NA,NA,Active,Artificial Intelligence,Economic Sociology,Science and Technology Studies,Sociology,Womens and Gender Studies,NA,https://gtr.ukri.org:443/projects?ref=ES/T007265/1,A4279AB6-AA19-46A8-B7ED-08B6FFA4AB5F,924BE15C-91F2-4AAD-941A-3F338324B6AE,3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9,DA8ABC6E-E5BF-45BA-8B39-7CCBB5CE1A3C,1155,355.5974025974026
ESRC,ES/T007079/1,Cardiff University,Sch of Psychology,Research Grant,Morgan,Phillip,NA,http://orcid.org/0000-0002-5672-0758,NA,NA,NA,NA,Rule of Law in the Age of AI: Principles of Distributive Liability for Multi-Agent Societies,2020-01-31,2023-03-31,405535,NA,NA,Active,Artificial Intelligence,Cognitive Psychology,Experimental Psychology,Human Communication in ICT,Human-Computer Interactions,NA,https://gtr.ukri.org:443/projects?ref=ES/T007079/1,E09A922A-6DA3-4E02-BC84-2E9066BCFDD3,924BE15C-91F2-4AAD-941A-3F338324B6AE,9C10D78F-6430-4CA7-9528-B96B0762A4C6,E64CE636-61C3-49CB-B58B-474B28353970,1155,351.1125541125541
